GDP,Tertiary_Education,Cost_buss_proc,Corporate_Tax,Income_Tax,UNEDUC,knowent,opport,suskill,sunewcst,discent,IND_UNK,IND_EXTRAC,IND_TRANS,IND_SERV,IND_CONS,gender,age,age2,TEAyy
56812.54,46.51,1.2,2.117,10.565,1,0,1,1,0,0,0,0,0,0,1,2,25,625,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,0,0,0,0,0,0,1,0,2,34,1156,1
56812.54,46.51,1.2,2.117,10.565,0,0,1,1,0,0,0,0,0,0,1,2,36,1296,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,0,1,2,55,3025,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,0,1,1,0,0,0,0,1,2,26,676,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,0,0,0,0,0,0,0,1,2,39,1521,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,0,0,0,0,0,0,1,2,57,3249,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,1,0,0,2,40,1600,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,1,0,2,55,3025,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,0,1,2,34,1156,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,0,1,2,46,2116,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,1,0,0,0,0,0,0,1,2,45,2025,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,0,1,0,0,0,0,0,1,2,60,3600,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,0,0,0,0,0,0,0,1,2,44,1936,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,0,1,0,0,0,0,1,2,41,1681,1
56812.54,46.51,1.2,2.117,10.565,0,0,1,1,1,0,0,0,0,0,1,2,54,2916,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,0,0,0,0,0,0,0,1,2,29,841,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,1,0,0,0,0,0,1,0,2,34,1156,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,0,0,0,0,0,0,1,2,35,1225,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,1,0,0,0,0,0,0,1,2,67,4489,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,0,1,0,0,0,1,0,0,2,52,2704,1
56812.54,46.51,1.2,2.117,10.565,1,0,1,1,0,0,0,0,0,1,0,2,45,2025,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,1,0,2,32,1024,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,0,0,0,0,0,0,0,1,2,53,2809,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,1,0,0,0,2,38,1444,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,1,0,0,0,0,1,0,2,55,3025,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,1,1,0,0,0,0,1,0,2,54,2916,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,0,1,0,0,0,0,0,1,2,23,529,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,0,0,0,0,0,0,1,2,36,1296,1
50301.85,45.08,5,2.673,7.595,0,0,1,1,1,0,0,0,0,0,1,2,30,900,1
50301.85,45.08,5,2.673,7.595,0,1,1,1,0,0,0,0,0,0,1,2,41,1681,1
50301.85,45.08,5,2.673,7.595,0,0,1,1,0,0,0,0,0,0,1,2,24,576,1
50301.85,45.08,5,2.673,7.595,0,0,0,0,0,0,0,0,0,0,1,2,51,2601,1
50301.85,45.08,5,2.673,7.595,0,0,1,1,1,0,0,0,0,1,0,2,21,441,1
50301.85,45.08,5,2.673,7.595,0,1,1,1,1,0,0,0,0,0,1,2,52,2704,1
50301.85,45.08,5,2.673,7.595,0,1,1,1,0,0,0,0,0,1,0,2,24,576,1
50301.85,45.08,5,2.673,7.595,0,0,1,1,1,0,0,0,0,0,1,2,30,900,1
